"","월","공항명","운항.도착","운항.출발","운항.계","여객.도착","여객.출발","여객.계","화물.도착","화물.출발","화물.계"
"3","1월","제주","6,542","6,554","13,096","1,138,066","1,161,003","2,299,069","9,330.7","12,569.2","21,899.9"
"18","2월","제주","6,044","6,040","12,084","1,003,353","997,731","2,001,084","8,457.70","12,119.90","20,577.60"
"33","3월","제주","6,849","6,844","13,693","1,142,039","1,130,516","2,272,555","9,511.6","14,496.2","24,007.8"
"48","4월","제주","6,959","6,957","13,916","1,342,618","1,325,386","2,668,004","10,443.90","12,466.40","22,910.30"
"63","5월","제주","7,337","7,333","14,670","1,334,236","1,350,568","2,684,804","11,053","10,076.4","21,129.4"
"78","6월","제주","7,175","7,173","14,348","1,322,085","1,336,488","2,658,573","10,835.80","10,086.50","20,922.40"
"93","7월","제주","7,416","7,416","14,832","1,281,379","1,223,861","2,505,240","11,652.90","10,147.60","21,800.50"
"108","8월","제주","7,190","7,207","14,397","1,305,745","1,346,774","2,652,519","12,122.10","11,651.10","23,773.20"
"123","9월","제주","7,296","7,295","14,591","1,238,100","1,255,050","2,493,150","10,631.50","12,613.60","23,245.10"
"138","10월","제주","7,263","7,267","14,530","1,290,110","1,285,715","2,575,825","11,246.6","12,368.1","23,614.6"
"153","11월","제주","6,953","6,956","13,909","1,187,924","1,200,665","2,388,589","9,674.60","11,353.70","21,028.30"
"168","12월","제주","7,132","7,133","14,265","1,140,996","1,114,897","2,255,893","9,411.50","12,049.80","21,461.30"
