"","월","공항명","운항.도착","운항.출발","운항.계","여객.도착","여객.출발","여객.계","화물.도착","화물.출발","화물.계"
"3","1월","제주","7,017","7,016","14,033","1,169,258","1,202,773","2,372,031","9,193.30","14,344.20","23,537.50"
"18","2월","제주","6,412","6,412","12,824","1,167,815","1,147,404","2,315,219","8,878.30","11,597.50","20,475.80"
"33","3월","제주","7,036","7,037","14,073","1,191,330","1,194,693","2,386,023","9,125.20","11,745.60","20,870.80"
"48","4월","제주","7,155","7,156","14,311","1,318,021","1,302,045","2,620,066","10,283.90","10,581.30","20,865.20"
"63","5월","제주","7,567","7,571","15,138","1,349,682","1,367,509","2,717,191","10,454.60","10,096.50","20,551.10"
"77","6월","제주","7,383","7,386","14,769","1,337,833","1,346,654","2,684,487","10,161.40","9,677.30","19,838.70"
"92","7월","제주","7,557","7,563","15,120","1,334,270","1,282,702","2,616,972","10,870.70","9,588.60","20,459.30"
"107","8월","제주","7,841","7,837","15,678","1,437,344","1,469,725","2,907,069","11,721.40","12,247.60","23,969"
"122","9월","제주","7,101","7,115","14,216","1,217,534","1,228,396","2,445,930","9,989.40","12,055.30","22,044.70"
"137","10월","제주","7,632","7,635","15,267","1,450,637","1,446,149","2,896,786","11,166.80","12,320.90","23,487.70"
"152","11월","제주","7,401","7,400","14,801","1,354,585","1,365,651","2,720,236","9,645.80","10,955.40","20,601.20"
"167","12월","제주","7,567","7,569","15,136","1,329,231","1,305,153","2,634,384","9,706.60","12,438.90","22,145.50"
