"","월","공항명","운항.도착","운항.출발","운항.계","여객.도착","여객.출발","여객.계","화물.도착","화물.출발","화물.계"
"3","1월","제주","7,564","7,575","15,139","1,280,386","1,331,677","2,612,063","9,297.30","14,492.50","23,789.80"
"18","2월","제주","5,289","5,285","10,574","654,584","670,856","1,325,440","4,907.80","7,838","12,745.80"
"33","3월","제주","3,314","3,314","6,628","486,735","492,755","979,490","4,013.20","5,831.10","9,844.30"
"46","4월","제주","3,931","3,927","7,858","552,602","493,182","1,045,784","4,471.60","5,160.50","9,632.10"
"60","5월","제주","5,638","5,651","11,289","792,703","824,295","1,616,998","5,537.10","5,882.50","11,419.60"
"74","6월","제주","5,898","5,913","11,811","891,945","893,670","1,785,615","5,917.80","6,254.60","12,172.40"
"84","7월","제주","6,407","6,405","12,812","1,022,529","980,222","2,002,751","7,195.60","6,944.40","14,139.90"
"96","8월","제주","6,938","6,948","13,886","1,142,161","1,184,936","2,327,097","8,400.20","9,039.40","17,439.60"
"108","9월","제주","4,918","4,932","9,850","752,950","731,300","1,484,250","6,172.60","7,520","13,692.60"
"120","10월","제주","6,931","6,943","13,874","1,105,274","1,099,691","2,204,965","7,764.90","8,266.80","16,031.70"
"134","11월","제주","7,067","7,083","14,150","1,173,950","1,206,886","2,380,836","8,141.40","9,624.70","17,766.10"
"148","12월","제주","5,190","5,195","10,385","638,670","650,737","1,289,407","5,629.80","7,081.10","12,710.90"
