"","월","공항명","운항.도착","운항.출발","운항.계","여객.도착","여객.출발","여객.계","화물.도착","화물.출발","화물.계"
"3","1월","제주","3,407","3,418","6,825","527,721","517,544","1,045,265","4,277.10","5,916.10","10,193.20"
"16","2월","제주","5,531","5,530","11,061","881,023","859,257","1,740,280","6,057.40","8,504.80","14,562.20"
"29","3월","제주","6,476","6,477","12,953","989,039","1,004,337","1,993,376","6,332.90","8,881.10","15,214"
"42","4월","제주","7,310","7,314","14,624","1,183,138","1,154,716","2,337,854","7,512.30","8,306.40","15,818.70"
"57","5월","제주","7,527","7,536","15,063","1,208,731","1,224,412","2,433,143","7,752","7,905","15,657"
"71","6월","제주","7,162","7,160","14,322","1,210,844","1,202,891","2,413,735","7,656.20","7,985.20","15,641.40"
"85","7월","제주","7,382","7,388","14,770","1,171,431","1,130,281","2,301,712","7,849.10","7,718","15,567"
"99","8월","제주","6,910","6,917","13,827","1,016,575","1,089,011","2,105,586","7,039.60","8,282","15,321.70"
"113","9월","제주","6,258","6,255","12,513","966,240","957,885","1,924,125","7,277.10","8,953.50","16,230.60"
"127","10월","제주","7,526","7,525","15,051","1,301,075","1,276,635","2,577,710","8,616.60","9,491.10","18,107.80"
"140","11월","제주","7,246","7,252","14,498","1,292,830","1,316,932","2,609,762","8,579.50","10,329.80","18,909.20"
"153","12월","제주","7,366","7,357","14,723","1,175,675","1,144,327","2,320,002","7,930.80","9,771.90","17,702.80"
