"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","7,000",10,"1,456",4,5,0,7,"1,482"
"8","1월","제주","도착","6,997",14,"462",13,6,0,30,"525"
"9","1월","제주","계","13,997",24,"1,918",17,11,0,37,"2,007"
"46","2월","제주","출발","6,317",66,"1,234",29,4,0,28,"1,361"
"47","2월","제주","도착","6,291",31,"484",6,1,0,12,"534"
"48","2월","제주","계","12,608",97,"1,718",35,5,0,40,"1,895"
"85","3월","제주","출발","6,931",3,"1,107",9,0,0,4,"1,123"
"86","3월","제주","도착","6,933",14,"234",4,0,0,7,"259"
"87","3월","제주","계","13,864",17,"1,341",13,0,0,11,"1,382"
"124","4월","제주","출발","6,813",36,"1,850",11,4,0,7,"1,908"
"125","4월","제주","도착","6,817",15,"621",7,2,0,22,"667"
"126","4월","제주","계","13,630",51,"2,471",18,6,0,29,"2,575"
"163","5월","제주","출발","7,035",0,"1,073",6,1,0,3,"1,083"
"164","5월","제주","도착","7,027",15,"277",3,1,0,12,"308"
"165","5월","제주","계","14,062",15,"1,350",9,2,0,15,"1,391"
"202","6월","제주","출발","6,804",4,"1,293",9,4,0,6,"1,316"
"203","6월","제주","도착","6,798",11,"304",6,1,0,5,"327"
"204","6월","제주","계","13,602",15,"1,597",15,5,0,11,"1,643"
"241","7월","제주","출발","7,003",6,"1,442",14,9,0,11,"1,482"
"242","7월","제주","도착","6,996",19,"425",16,8,0,23,"491"
"243","7월","제주","계","13,999",25,"1,867",30,17,0,34,"1,973"
"280","8월","제주","출발","7,032",4,"1,560",14,11,0,18,"1,607"
"281","8월","제주","도착","7,029",12,"450",16,2,0,16,"496"
"282","8월","제주","계","14,061",16,"2,010",30,13,0,34,"2,103"
"319","9월","제주","출발","6,837",7,"1,463",11,7,0,35,"1,523"
"320","9월","제주","도착","6,834",7,"360",19,4,0,46,"436"
"321","9월","제주","계","13,671",14,"1,823",30,11,0,81,"1,959"
"358","10월","제주","출발","6,996",1,"1,604",4,7,0,32,"1,648"
"359","10월","제주","도착","7,006",38,"412",8,6,0,18,"482"
"360","10월","제주","계","14,002",39,"2,016",12,13,0,50,"2,130"
"397","11월","제주","출발","6,503",39,"1,208",7,5,0,14,"1,273"
"398","11월","제주","도착","6,516",56,"355",12,3,0,11,"437"
"399","11월","제주","계","13,019",95,"1,563",19,8,0,25,"1,710"
"436","12월","제주","출발","6,591",3,"1,282",13,12,0,5,"1,315"
"437","12월","제주","도착","6,572",33,"472",12,4,0,48,"569"
"438","12월","제주","계","13,163",36,"1,754",25,16,0,53,"1,884"
