"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","3,164",31,"165",3,0,0,23,"222"
"8","1월","제주","도착","3,191",39,"37",3,3,2,25,"109"
"9","1월","제주","계","6,355",70,"202",6,3,2,48,"331"
"43","2월","제주","출발","5,117",23,"614",9,1,3,11,"661"
"44","2월","제주","도착","5,113",138,"88",8,4,12,12,"262"
"45","2월","제주","계","10,230",161,"702",17,5,15,23,"923"
"79","3월","제주","출발","6,020",27,"589",9,3,10,7,"645"
"80","3월","제주","도착","6,049",28,"132",2,1,13,17,"193"
"81","3월","제주","계","12,069",55,"721",11,4,23,24,"838"
"115","4월","제주","출발","6,920",10,"1,251",9,7,11,9,"1,297"
"116","4월","제주","도착","6,869",90,"263",5,12,5,16,"391"
"117","4월","제주","계","13,789",100,"1,514",14,19,16,25,"1,688"
"151","5월","제주","출발","7,098",6,"944",7,4,2,6,"969"
"152","5월","제주","도착","6,995",27,"134",6,2,15,3,"187"
"153","5월","제주","계","14,093",33,"1,078",13,6,17,9,"1,156"
"187","6월","제주","출발","6,547",7,"666",13,1,2,5,"694"
"188","6월","제주","도착","6,528",15,"99",1,1,10,2,"128"
"189","6월","제주","계","13,075",22,"765",14,2,12,7,"822"
"223","7월","제주","출발","6,668",6,"742",12,1,2,4,"767"
"224","7월","제주","도착","6,659",15,"218",8,4,18,6,"269"
"225","7월","제주","계","13,327",21,"960",20,5,20,10,"1,036"
"259","8월","제주","출발","6,344",11,"479",11,2,0,5,"508"
"260","8월","제주","도착","6,346",9,"75",8,0,9,5,"106"
"261","8월","제주","계","12,690",20,"554",19,2,9,10,"614"
"295","9월","제주","출발","5,753",29,"535",2,1,5,3,"575"
"296","9월","제주","도착","5,757",54,"114",9,11,12,6,"206"
"297","9월","제주","계","11,510",83,"649",11,12,17,9,"781"
"331","10월","제주","출발","6,759",17,"966",8,2,3,8,"1,004"
"332","10월","제주","도착","6,757",24,"140",9,2,25,6,"206"
"333","10월","제주","계","13,516",41,"1,106",17,4,28,14,"1,210"
"367","11월","제주","출발","7,028",67,"1,564",17,1,10,41,"1,700"
"368","11월","제주","도착","7,023",64,"327",7,0,39,13,"450"
"369","11월","제주","계","14,051",131,"1,891",24,1,49,54,"2,150"
"403","12월","제주","출발","7,035",130,"927",12,2,4,5,"1,080"
"404","12월","제주","도착","7,022",159,"178",9,1,14,58,"419"
"405","12월","제주","계","14,057",289,"1,105",21,3,18,63,"1,499"
