"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","7,325",20,"1,573",12,11,1,8,"1,625"
"8","1월","제주","도착","7,338",50,"532",8,6,0,3,"599"
"9","1월","제주","계","14,663",70,"2,105",20,17,1,11,"2,224"
"49","2월","제주","출발","5,170",21,"182",5,1,2,20,"231"
"50","2월","제주","도착","5,172",9,"48",9,0,1,21,"88"
"51","2월","제주","계","10,342",30,"230",14,1,3,41,"319"
"91","3월","제주","출발","3,192",4,"23",7,8,3,1,"46"
"92","3월","제주","도착","3,197",6,"4",0,2,1,1,"14"
"93","3월","제주","계","6,389",10,"27",7,10,4,2,"60"
"127","4월","제주","출발","3,533",2,"63",5,2,3,10,"85"
"128","4월","제주","도착","3,594",4,"18",3,0,0,0,"25"
"129","4월","제주","계","7,127",6,"81",8,2,3,10,"110"
"166","5월","제주","출발","5,065",10,"150",3,3,10,2,"178"
"167","5월","제주","도착","5,094",26,"26",6,0,1,1,"60"
"168","5월","제주","계","10,159",36,"176",9,3,11,3,"238"
"205","6월","제주","출발","5,226",1,"160",8,6,4,4,"183"
"206","6월","제주","도착","5,208",12,"29",5,1,3,2,"52"
"207","6월","제주","계","10,434",13,"189",13,7,7,6,"235"
"232","7월","제주","출발","5,397",7,"245",10,3,1,19,"285"
"233","7월","제주","도착","5,418",13,"51",6,2,0,0,"72"
"234","7월","제주","계","10,815",20,"296",16,5,1,19,"357"
"262","8월","제주","출발","5,648",16,"594",9,5,8,11,"643"
"263","8월","제주","도착","5,764",31,"137",12,4,10,8,"202"
"264","8월","제주","계","11,412",47,"731",21,9,18,19,"845"
"292","9월","제주","출발","4,304",6,"93",3,0,0,0,"102"
"293","9월","제주","도착","4,317",7,"24",0,1,2,0,"34"
"294","9월","제주","계","8,621",13,"117",3,1,2,0,"136"
"319","10월","제주","출발","5,761",24,"482",8,4,9,6,"533"
"320","10월","제주","도착","5,778",5,"58",5,0,6,4,"78"
"321","10월","제주","계","11,539",29,"540",13,4,15,10,"611"
"352","11월","제주","출발","5,954",50,"1,136",11,4,13,14,"1,228"
"353","11월","제주","도착","5,956",36,"165",10,3,17,6,"237"
"354","11월","제주","계","11,910",86,"1,301",21,7,30,20,"1,465"
"388","12월","제주","출발","4,522",42,"168",6,4,0,20,"240"
"389","12월","제주","도착","4,524",29,"28",4,0,4,17,"82"
"390","12월","제주","계","9,046",71,"196",10,4,4,37,"322"
