연도,공항,국내선D/ 국제선I,정상운항,기상,기상결항률,도착안개당해,도착안개상대,도착강설당해,도착강설상대,도착강우당해,도착강우상대,도착기타당해,도착기타상대,도착기상당해,도착기상상대,출발안개당해,출발안개상대,출발강설당해,출발강설상대,출발강우당해,출발강우상대,출발기타당해,출발기타상대,출발기상당해,출발기상상대
2013,PUS,I,125,71,56.8,12,0,0,2,0,0,12,17,24,19,2,0,1,1,1,0,20,3,24,4
2013,RSU,D,23,13,56.5,0,2,0,3,0,0,3,0,3,5,0,2,0,0,0,0,3,0,3,2
2013,TAE,D,28,12,42.9,0,0,0,0,0,0,4,3,4,3,1,0,0,0,0,0,2,2,3,2
2013,TAE,I,1,1,100,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,USN,D,131,78,59.5,25,7,0,0,3,1,22,4,50,12,11,1,0,0,0,0,4,0,15,1
2013,WJU,D,42,40,95.2,4,0,13,0,0,0,3,0,20,0,5,0,13,0,0,0,2,0,20,0
2013,YNY,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,YNY,I,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,CJJ,D,80,71,88.8,2,0,0,0,0,0,2,28,4,28,6,0,0,0,0,0,10,23,16,23
2014,CJJ,I,4,3,75,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,1
2014,CJU,D,1484,974,65.6,3,30,0,37,2,1,496,41,501,109,2,23,2,37,5,0,282,13,291,73
2014,CJU,I,117,88,75.2,0,4,0,1,0,2,40,3,40,10,0,3,0,0,0,0,33,2,33,5
2014,GMP,D,1707,1216,71.2,12,71,0,8,0,9,6,371,18,459,63,133,3,74,4,3,49,410,119,620
2014,GMP,I,38,29,76.3,5,0,0,7,0,1,0,7,5,15,0,0,0,4,0,0,3,2,3,6
2014,HIN,D,85,59,69.4,21,8,1,0,2,0,4,1,28,9,14,0,1,0,2,0,4,1,21,1
2014,KPO,D,60,29,48.3,5,4,12,1,0,0,6,1,23,6,0,0,0,0,0,0,0,0,0,0
2014,KUV,D,65,65,100,2,0,22,1,0,0,1,6,25,7,3,0,23,0,0,0,1,6,27,6
2014,KWJ,D,208,165,79.3,39,10,6,4,0,0,11,17,56,31,44,2,8,0,0,0,11,13,63,15
2014,MWX,D,7,4,57.1,1,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0
2014,MWX,I,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,PUS,D,411,278,67.6,1,12,5,0,0,0,44,94,50,106,4,9,1,0,0,0,40,68,45,77
2014,PUS,I,137,69,50.4,1,3,0,1,0,1,29,9,30,14,1,1,0,0,0,0,17,6,18,7
2014,RSU,D,97,52,53.6,0,8,13,0,0,0,18,2,31,10,0,1,1,0,0,0,9,0,10,1
2014,TAE,D,83,66,79.5,0,0,0,0,0,0,1,27,1,27,1,0,0,0,1,0,2,34,4,34
2014,TAE,I,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,USN,D,272,136,50,39,5,31,1,10,0,43,6,123,12,0,0,1,0,0,0,0,0,1,0
2014,WJU,D,42,38,90.5,6,0,8,0,0,0,2,2,16,2,6,0,8,0,0,0,2,4,16,4
2014,YNY,D,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,YNY,I,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
