연도,공항,국내선D/ 국제선I,운항계획,운항,기상,A/C접속,A/C정비,기타
2020,MWX,D,1316,1307,8,1,0,0
2020,MWX,I,4520,4507,10,1,1,1
2020,YNY,D,160,160,0,0,0,0
2020,YNY,I,12,12,0,0,0,0
2020,KWJ,D,13281,13123,126,6,1,25
2020,USN,D,6509,6335,148,24,1,1
2020,RSU,D,5001,4914,81,6,0,0
2020,KPO,D,1162,1089,68,5,0,0
2020,HIN,D,1937,1896,38,3,0,0
2020,KUV,D,1955,1974,17,0,0,14
2020,WJU,D,904,872,29,3,0,0
2021,GMP,D,83058,82242,766,28,9,13
2021,GMP,I,14,14,0,0,0,0
2021,PUS,D,34328,33909,402,11,3,3
2021,PUS,I,66,62,3,1,0,0
2021,CJU,D,96464,95570,850,20,10,14
2021,CJU,I,58,58,0,0,0,0
2021,CJJ,D,10467,10412,54,1,0,0
2021,TAE,D,8433,8389,43,1,0,0
2021,TAE,I,34,34,0,0,0,0
2021,YNY,D,1286,1250,35,1,0,0
2021,KWJ,D,8830,8718,106,5,1,0
2021,USN,D,4157,4018,136,1,2,0
2021,RSU,D,4691,4626,65,0,0,0
2021,KPO,D,1282,1190,68,14,0,0
2021,KUV,D,1315,1276,39,0,0,0
2021,WJU,D,664,646,18,0,0,0
