,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,5,4,6,3,6,7,7,5,4,4,3,3,3,4,5,6,5,4,3,3,4,2,3,2
1,1,2,4,2,1,5,6,5,3,5,2,2,4,3,5,4,4,5,4,6,4,4,4,6,4,3
2,1,3,2,4,3,3,4,4,3,4,2,6,4,5,5,5,6,8,9,6,8,6,3,2,2,2
3,1,4,3,4,6,6,5,5,5,3,5,3,3,3,3,6,6,6,7,5,3,3,3,4,5,5
4,1,5,4,3,4,6,4,5,6,6,5,6,6,6,7,7,6,6,5,5,5,5,5,8,1,2
5,1,6,5,2,3,5,3,5,4,4,7,2,5,5,4,3,4,8,6,5,10,15,17,14,14,18
6,1,7,16,16,15,17,18,19,18,22,20,21,25,22,22,28,24,28,22,24,27,14,19,26,25,22
7,1,8,19,21,19,22,24,19,17,16,22,21,17,19,17,17,14,17,14,14,12,12,11,10,9,8
8,1,9,6,7,5,11,8,8,8,7,6,5,4,5,5,6,6,7,6,6,5,2,5,5,5,5
9,1,10,3,4,4,4,3,3,2,5,5,2,4,8,5,5,4,4,3,3,5,3,5,2,1,4
10,1,11,2,5,4,6,6,5,9,9,8,5,6,4,4,5,4,5,5,6,8,8,7,8,9,6
11,1,12,7,6,7,11,11,13,12,14,14,14,13,14,15,11,12,12,14,11,12,11,11,11,10,12
12,1,13,11,10,11,9,11,11,9,9,8,10,10,9,8,8,9,7,8,7,6,7,5,4,5,4
13,1,14,7,6,7,6,5,7,9,4,5,7,8,7,8,4,3,3,5,2,7,5,3,6,6,4
14,1,15,8,11,10,8,10,7,8,6,4,7,6,6,8,8,9,8,8,6,5,7,7,5,5,5
15,1,16,4,4,3,4,5,6,6,3,3,5,5,6,4,6,4,2,2,3,2,4,5,4,5,4
16,1,17,5,3,3,4,5,5,5,6,5,6,5,5,6,9,8,10,11,8,7,9,7,6,7,7
17,1,18,9,8,8,9,9,9,11,11,10,9,9,9,10,11,10,9,11,10,9,4,5,3,6,4
18,1,19,4,4,5,5,5,8,7,10,9,8,8,8,10,12,14,13,13,11,9,8,8,12,11,11
19,1,20,9,10,10,11,11,11,11,11,10,12,11,9,10,11,8,10,9,9,9,8,8,5,9,7
20,1,21,9,7,6,5,5,7,4,4,6,7,6,6,8,9,11,9,8,6,5,4,6,6,3,8
21,1,22,4,3,2,5,3,7,5,2,3,3,6,4,4,1,4,2,1,2,1,2,3,1,2,2
22,1,23,6,5,6,3,2,4,5,6,5,1,4,4,6,5,4,4,4,5,4,5,2,6,5,5
23,1,24,5,4,7,7,8,6,7,8,5,6,5,7,8,7,7,8,9,7,6,6,6,6,7,9
24,1,25,6,7,7,12,12,15,14,14,16,15,17,18,16,19,19,13,15,10,10,10,9,10,10,8
25,1,26,7,7,6,6,12,9,12,8,10,15,17,16,19,17,20,17,19,20,21,21,23,24,21,21
26,1,27,21,24,21,18,22,21,27,25,28,26,28,23,19,17,14,13,11,12,12,10,11,10,11,9
27,1,28,8,7,7,7,7,7,7,7,6,5,5,6,6,6,6,5,6,9,9,9,10,7,7,5
28,1,29,7,7,8,8,8,8,9,9,9,9,10,10,10,10,10,11,10,11,12,12,10,10,11,9
29,1,30,8,10,9,8,9,13,14,13,12,11,9,10,12,12,11,12,13,12,12,13,13,8,9,9
30,1,31,10,9,10,8,9,11,7,10,7,10,8,9,9,10,8,8,9,9,5,6,9,5,4,5
0,2,1,4,2,2,5,4,3,3,3,5,6,6,6,5,7,7,6,4,5,5,8,5,5,6,7
1,2,2,6,6,3,5,4,5,4,2,3,4,5,6,8,6,6,5,5,4,4,6,6,6,6,5
2,2,3,4,5,4,4,6,7,7,7,6,11,9,7,5,9,11,11,10,7,4,5,5,6,5,2
3,2,4,2,3,3,3,5,4,4,2,3,4,4,5,5,6,5,4,3,1,4,5,5,5,5,4
4,2,5,5,7,5,15,11,10,11,11,9,9,7,7,7,8,5,8,6,6,8,6,8,6,6,6
5,2,6,8,5,5,6,6,7,6,6,6,6,7,6,5,5,6,4,3,4,3,6,5,7,6,6
6,2,7,6,4,6,2,3,3,5,4,5,5,6,7,8,6,4,5,3,6,6,7,6,6,6,7
7,2,8,7,10,8,12,8,12,12,13,11,11,12,15,14,16,13,14,12,11,10,9,8,9,9,7
8,2,9,9,6,8,8,7,5,4,9,10,7,5,8,9,9,10,10,12,12,10,8,8,9,7,7
9,2,10,8,8,10,11,12,12,12,10,9,6,7,8,7,7,8,6,7,6,6,5,5,6,5,6
10,2,11,6,7,6,6,7,7,6,5,4,2,7,5,5,2,4,1,2,1,3,5,4,2,2,5
11,2,12,2,3,3,8,3,6,4,10,9,11,11,10,13,11,10,11,14,11,9,10,12,11,10,8
12,2,13,7,8,7,5,5,5,3,5,4,4,5,6,5,4,4,4,3,3,4,3,4,3,3,2
13,2,14,2,2,4,5,5,5,3,2,5,6,4,5,5,5,5,5,5,7,2,4,5,6,5,4
14,2,15,3,5,3,2,4,7,3,5,18,13,17,14,7,8,10,3,2,2,2,4,3,4,12,11
15,2,16,11,16,14,13,13,16,15,14,16,17,20,19,18,20,20,21,21,17,21,21,19,16,18,19
16,2,17,19,20,19,16,22,17,23,18,22,19,21,17,16,21,18,25,27,26,25,24,22,19,22,18
17,2,18,27,18,19,19,17,16,15,14,14,12,12,10,10,10,9,6,7,6,5,5,4,5,4,6
18,2,19,6,7,6,4,6,5,6,4,6,3,2,4,5,5,4,5,4,2,2,4,5,5,4,5
19,2,20,5,5,5,2,3,3,4,7,4,5,5,8,8,8,8,11,10,9,8,5,6,4,5,4
20,2,21,5,7,6,5,6,5,7,6,6,5,4,7,7,5,4,4,2,4,3,2,12,13,11,14
21,2,22,16,15,15,13,13,11,10,8,6,8,7,8,9,10,10,11,12,13,13,14,12,12,9,9
