"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","6,351",131,31,1,0,0,23,186
"8","1월","제주","도착","6,344",136,10,2,0,0,18,166
"9","1월","제주","계","12,695",267,41,3,0,0,41,352
"46","2월","제주","출발","5,779",121,35,7,0,0,8,171
"47","2월","제주","도착","5,779",110,24,5,0,0,7,146
"48","2월","제주","계","11,558",231,59,12,0,0,15,317
"85","3월","제주","출발","6,742",18,9,3,1,0,2,33
"86","3월","제주","도착","6,722",17,7,2,0,0,1,27
"87","3월","제주","계","13,464",35,16,5,1,0,3,60
"124","4월","제주","출발","6,855",4,16,2,0,0,7,29
"125","4월","제주","도착","6,879",0,1,0,0,0,0,1
"126","4월","제주","계","13,734",4,17,2,0,0,7,30
"163","5월","제주","출발","7,204",7,16,1,0,0,9,33
"164","5월","제주","도착","7,220",7,5,2,0,0,0,14
"165","5월","제주","계","14,424",14,21,3,0,0,9,47
"202","6월","제주","출발","7,040",4,10,1,0,0,9,24
"203","6월","제주","도착","7,049",1,6,3,0,0,1,11
"204","6월","제주","계","14,089",5,16,4,0,0,10,35
"241","7월","제주","출발","7,250",32,20,5,0,0,3,60
"242","7월","제주","도착","7,248",32,17,5,0,0,0,54
"243","7월","제주","계","14,498",64,37,10,0,0,3,114
"280","8월","제주","출발","6,929",229,19,8,0,0,11,267
"281","8월","제주","도착","6,956",256,6,4,0,0,2,268
"282","8월","제주","계","13,885",485,25,12,0,0,13,535
"319","9월","제주","출발","7,072",8,4,1,0,0,8,21
"320","9월","제주","도착","7,081",8,1,3,0,0,0,12
"321","9월","제주","계","14,153",16,5,4,0,0,8,33
"358","10월","제주","출발","7,115",107,1,0,0,0,0,108
"359","10월","제주","도착","7,113",146,0,1,0,0,0,147
"360","10월","제주","계","14,228",253,1,1,0,0,0,255
"397","11월","제주","출발","6,787",10,16,2,0,0,6,34
"398","11월","제주","도착","6,818",15,7,4,0,0,0,26
"399","11월","제주","계","13,605",25,23,6,0,0,6,60
"436","12월","제주","출발","6,974",23,7,1,0,0,1,32
"437","12월","제주","도착","6,981",25,4,1,0,0,0,30
"438","12월","제주","계","13,955",48,11,2,0,0,1,62
