"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","3,164",178,8,1,0,0,0,187
"8","1월","제주","도착","3,191",177,0,0,0,0,1,178
"9","1월","제주","계","6,355",355,8,1,0,0,1,365
"43","2월","제주","출발","5,117",28,0,2,0,0,0,30
"44","2월","제주","도착","5,113",28,0,1,0,0,0,29
"45","2월","제주","계","10,230",56,0,3,0,0,0,59
"79","3월","제주","출발","6,020",28,0,0,0,0,0,28
"80","3월","제주","도착","6,049",9,0,0,0,0,0,9
"81","3월","제주","계","12,069",37,0,0,0,0,0,37
"115","4월","제주","출발","6,920",23,0,1,0,0,6,30
"116","4월","제주","도착","6,869",20,1,0,0,0,0,21
"117","4월","제주","계","13,789",43,1,1,0,0,6,51
"151","5월","제주","출발","7,098",85,1,1,0,0,0,87
"152","5월","제주","도착","6,995",88,0,0,0,0,1,89
"153","5월","제주","계","14,093",173,1,1,0,0,1,176
"187","6월","제주","출발","6,547",13,0,0,0,0,2,15
"188","6월","제주","도착","6,528",16,0,0,0,0,0,16
"189","6월","제주","계","13,075",29,0,0,0,0,2,31
"223","7월","제주","출발","6,668",11,0,1,0,0,3,15
"224","7월","제주","도착","6,659",9,1,0,0,0,0,10
"225","7월","제주","계","13,327",20,1,1,0,0,3,25
"259","8월","제주","출발","6,344",72,1,2,0,0,2,77
"260","8월","제주","도착","6,346",63,8,1,0,0,1,73
"261","8월","제주","계","12,690",135,9,3,0,0,3,150
"295","9월","제주","출발","5,753",25,1,1,0,0,1,28
"296","9월","제주","도착","5,757",42,1,0,0,0,0,43
"297","9월","제주","계","11,510",67,2,1,0,0,1,71
"331","10월","제주","출발","6,759",2,0,0,0,0,0,2
"332","10월","제주","도착","6,757",2,0,0,0,0,0,2
"333","10월","제주","계","13,516",4,0,0,0,0,0,4
"367","11월","제주","출발","7,028",13,3,0,2,0,2,20
"368","11월","제주","도착","7,023",12,2,0,1,0,3,18
"369","11월","제주","계","14,051",25,5,0,3,0,5,38
"403","12월","제주","출발","7,035",79,12,10,0,0,14,115
"404","12월","제주","도착","7,022",65,5,11,0,0,3,84
"405","12월","제주","계","14,057",144,17,21,0,0,17,199
