"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","7,000",20,15,2,0,0,4,41
"8","1월","제주","도착","6,997",21,11,4,0,0,1,37
"9","1월","제주","계","13,997",41,26,6,0,0,5,78
"46","2월","제주","출발","6,317",31,10,5,0,0,4,50
"47","2월","제주","도착","6,291",39,5,4,0,0,0,48
"48","2월","제주","계","12,608",70,15,9,0,0,4,98
"85","3월","제주","출발","6,931",1,5,2,0,0,0,8
"86","3월","제주","도착","6,933",2,3,4,0,0,0,9
"87","3월","제주","계","13,864",3,8,6,0,0,0,17
"124","4월","제주","출발","6,813",19,9,0,0,0,6,34
"125","4월","제주","도착","6,817",18,4,6,0,0,0,28
"126","4월","제주","계","13,630",37,13,6,0,0,6,62
"163","5월","제주","출발","7,035",1,1,2,0,0,1,5
"164","5월","제주","도착","7,027",0,3,2,0,0,1,6
"165","5월","제주","계","14,062",1,4,4,0,0,2,11
"202","6월","제주","출발","6,804",0,1,3,0,0,0,4
"203","6월","제주","도착","6,798",2,5,1,0,0,0,8
"204","6월","제주","계","13,602",2,6,4,0,0,0,12
"241","7월","제주","출발","7,003",3,7,6,0,0,7,23
"242","7월","제주","도착","6,996",3,6,8,0,0,0,17
"243","7월","제주","계","13,999",6,13,14,0,0,7,40
"280","8월","제주","출발","7,032",2,3,1,0,0,9,15
"281","8월","제주","도착","7,029",2,4,1,0,0,0,7
"282","8월","제주","계","14,061",4,7,2,0,0,9,22
"319","9월","제주","출발","6,837",3,9,0,0,0,6,18
"320","9월","제주","도착","6,834",2,3,4,0,0,1,10
"321","9월","제주","계","13,671",5,12,4,0,0,7,28
"358","10월","제주","출발","6,996",9,5,2,1,0,4,21
"359","10월","제주","도착","7,006",5,2,1,0,0,0,8
"360","10월","제주","계","14,002",14,7,3,1,0,4,29
"397","11월","제주","출발","6,503",8,10,1,0,0,1,20
"398","11월","제주","도착","6,516",7,4,0,0,0,0,11
"399","11월","제주","계","13,019",15,14,1,0,0,1,31
"436","12월","제주","출발","6,591",27,18,0,0,0,4,49
"437","12월","제주","도착","6,572",20,13,6,0,0,2,41
"438","12월","제주","계","13,163",47,31,6,0,0,6,90
