"","월","공항명","출.도착","운항.편.","기상","A.C접속","A.C장비","여객처리","복합원인","기타","계"
"7","1월","제주","출발","7,325",31,11,0,0,0,14,56
"8","1월","제주","도착","7,338",35,7,1,0,0,4,47
"9","1월","제주","계","14,663",66,18,1,0,0,18,103
"49","2월","제주","출발","5,170",34,3,2,0,0,2,41
"50","2월","제주","도착","5,172",31,5,1,0,0,2,39
"51","2월","제주","계","10,342",65,8,3,0,0,4,80
"91","3월","제주","출발","3,192",4,2,0,0,0,1,7
"92","3월","제주","도착","3,197",3,2,0,0,0,2,7
"93","3월","제주","계","6,389",7,4,0,0,0,3,14
"127","4월","제주","출발","3,533",8,3,0,0,0,0,11
"128","4월","제주","도착","3,594",9,1,1,0,0,0,11
"129","4월","제주","계","7,127",17,4,1,0,0,0,22
"166","5월","제주","출발","5,065",23,4,1,0,0,2,30
"167","5월","제주","도착","5,094",31,1,1,0,0,1,34
"168","5월","제주","계","10,159",54,5,2,0,0,3,64
"205","6월","제주","출발","5,226",7,9,1,0,0,0,17
"206","6월","제주","도착","5,208",22,1,0,0,0,0,23
"207","6월","제주","계","10,434",29,10,1,0,0,0,40
"232","7월","제주","출발","5,397",12,0,2,0,0,1,15
"233","7월","제주","도착","5,418",5,0,0,0,0,0,5
"234","7월","제주","계","10,815",17,0,2,0,0,1,20
"262","8월","제주","출발","5,648",136,0,2,0,0,11,149
"263","8월","제주","도착","5,764",138,0,1,0,0,9,148
"264","8월","제주","계","11,412",274,0,3,0,0,20,297
"292","9월","제주","출발","4,304",50,0,0,0,0,0,50
"293","9월","제주","도착","4,317",63,0,0,0,0,1,64
"294","9월","제주","계","8,621",113,0,0,0,0,1,114
"319","10월","제주","출발","5,761",2,0,0,0,0,0,2
"320","10월","제주","도착","5,778",2,0,0,0,0,1,3
"321","10월","제주","계","11,539",4,0,0,0,0,1,5
"352","11월","제주","출발","5,954",17,0,1,0,0,5,23
"353","11월","제주","도착","5,956",15,0,1,0,0,2,18
"354","11월","제주","계","11,910",32,0,2,0,0,7,41
"388","12월","제주","출발","4,522",44,3,1,0,0,2,50
"389","12월","제주","도착","4,524",51,0,0,0,0,1,52
"390","12월","제주","계","9,046",95,3,1,0,0,3,102
