,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,17,17,18,18,18,20,19,18,18,12,3,3,36,4,5,6,7,12,14,17,13,12,17,17
1,1,2,14,15,14,15,13,14,18,12,12,12,17,15,15,1,29,34,35,34,34,35,35,33,34,31
2,1,3,20,30,30,31,23,20,20,18,21,36,36,36,34,33,32,30,7,33,21,20,20,21,20,19
3,1,4,19,19,19,19,18,19,18,17,16,4,4,2,2,3,3,2,35,34,18,19,18,18,17,16
4,1,5,13,16,17,15,12,13,14,13,10,9,9,9,7,9,8,9,9,10,12,11,10,9,9,9
5,1,6,10,10,10,10,10,10,10,10,10,10,9,8,8,9,9,9,9,9,11,11,11,10,10,11
6,1,7,11,11,10,11,11,9,9,9,9,9,9,9,8,8,7,8,9,9,9,9,9,8,9,8
7,1,8,9,6,6,7,7,10,9,12,11,11,10,7,2,2,34,32,32,32,32,32,33,32,33,33
8,1,9,34,32,32,33,32,32,32,31,31,33,32,33,32,32,32,33,33,33,33,34,33,34,33,30
9,1,10,31,31,32,31,31,31,32,33,33,34,33,31,33,31,34,34,33,34,33,33,34,35,34,33
10,1,11,33,32,34,33,33,33,34,35,36,36,36,36,36,31,33,31,31,33,33,33,34,35,27,22
11,1,12,24,32,33,32,31,31,27,22,27,30,29,27,28,28,28,31,31,32,30,32,32,32,33,33
12,1,13,32,34,33,31,33,32,31,31,29,29,30,28,30,30,30,31,31,31,33,33,33,33,34,33
13,1,14,34,34,34,33,34,33,34,33,33,35,34,34,34,33,35,35,34,34,35,35,35,34,35,33
14,1,15,34,34,35,34,35,35,36,35,1,36,1,35,36,36,34,35,1,34,34,34,36,36,3,36
15,1,16,35,35,33,34,34,34,35,36,1,1,35,1,36,36,34,2,34,36,32,35,35,1,36,17
16,1,17,17,18,17,17,16,19,18,17,20,25,27,31,33,1,1,2,2,17,35,20,22,18,17,18
17,1,18,20,21,22,32,33,33,36,1,1,1,2,35,1,1,1,2,2,5,1,1,1,11,14,12
18,1,19,9,15,9,17,17,1,36,35,35,31,17,32,33,33,32,32,31,27,24,30,28,22,23,21
19,1,20,25,31,31,30,30,31,30,32,31,32,31,31,31,33,33,34,33,33,34,34,34,33,34,35
20,1,21,35,36,35,1,32,1,1,31,28,21,31,28,26,29,30,28,25,29,25,28,27,28,28,29
21,1,22,30,30,31,31,31,32,31,32,33,32,31,33,32,33,34,33,33,33,31,32,32,32,32,32
22,1,23,33,32,33,33,32,32,34,32,31,33,33,33,33,33,33,33,33,33,34,34,34,34,34,33
23,1,24,34,35,34,33,34,35,34,34,34,34,33,35,34,34,34,33,33,34,34,36,33,1,35,34
24,1,25,28,18,13,17,32,32,35,35,35,34,36,36,32,32,30,32,31,35,33,32,35,34,35,34
25,1,26,33,35,1,15,5,18,17,17,16,26,10,1,2,1,36,32,29,25,21,22,25,25,22,24
26,1,27,24,24,25,25,24,24,29,33,34,36,35,34,32,33,34,32,35,32,35,23,17,12,11,10
27,1,28,17,18,17,18,17,17,17,16,16,10,9,6,6,5,4,3,31,21,17,13,18,17,17,11
28,1,29,19,17,15,19,20,22,23,16,18,7,4,7,32,1,2,4,35,28,28,25,27,25,31,32
29,1,30,33,33,34,34,34,33,33,32,33,32,33,34,34,33,33,34,33,34,36,34,34,36,35,35
30,1,31,3,2,3,34,36,36,2,3,31,33,33,33,34,1,31,32,31,30,32,30,30,31,31,33
0,2,1,33,33,33,34,33,34,34,1,36,35,35,34,33,33,34,34,33,33,34,33,33,34,34,33
1,2,2,33,22,36,1,17,28,21,24,25,36,1,2,2,33,30,29,30,30,20,17,16,18,19,19
2,2,3,18,17,17,18,17,18,16,15,13,4,3,3,4,4,2,36,2,7,8,21,16,19,18,17
3,2,4,18,17,18,18,15,11,14,13,15,13,12,9,3,2,31,27,20,20,19,18,16,13,19,23
4,2,5,27,26,29,26,28,28,31,31,30,31,31,31,30,30,30,30,31,31,32,31,32,32,32,31
5,2,6,31,32,32,32,32,33,34,34,34,33,33,34,33,33,35,34,34,36,35,33,34,36,5,6
6,2,7,2,1,35,18,8,12,12,33,1,36,33,36,35,34,32,32,34,8,26,20,18,18,18,19
7,2,8,18,19,19,25,32,34,32,31,32,36,33,32,32,32,36,34,34,33,34,33,35,33,33,33
8,2,9,34,33,33,33,33,33,33,33,33,33,33,33,32,32,32,31,33,33,33,34,33,33,33,32
9,2,10,32,31,33,32,32,32,34,35,34,32,29,30,31,32,33,33,33,32,32,32,31,32,32,32
10,2,11,32,33,32,32,32,33,34,33,33,33,33,33,33,33,33,33,32,32,33,32,33,32,33,33
11,2,12,34,33,33,33,32,32,31,31,31,31,32,30,30,31,31,31,31,31,33,34,33,34,23,19
12,2,13,18,18,17,18,17,17,17,17,16,32,30,32,32,28,26,27,29,29,28,24,24,26,27,29
13,2,14,30,31,31,31,30,32,33,34,33,33,33,32,31,33,31,32,32,32,33,29,27,21,19,21
14,2,15,18,18,18,18,18,17,17,17,17,5,2,35,32,33,32,1,35,28,23,18,18,19,33,13
15,2,16,17,20,13,15,17,17,17,17,20,9,23,23,21,20,20,21,21,21,21,21,22,23,23,22
16,2,17,23,23,24,25,26,30,31,33,32,33,33,32,33,32,33,33,32,33,32,33,31,33,31,32
17,2,18,31,31,32,32,31,34,31,32,32,33,33,33,30,31,31,31,33,33,34,34,2,31,15,16
18,2,19,14,13,13,13,14,14,21,18,16,13,4,12,6,7,6,9,3,18,20,21,21,21,21,22
19,2,20,22,22,23,23,26,26,32,31,33,33,34,33,35,33,32,33,33,34,34,1,35,33,36,1
20,2,21,36,1,36,2,2,7,4,11,11,10,9,5,5,6,6,9,10,9,9,10,13,9,10,12
21,2,22,10,28,6,22,11,35,7,11,4,2,21,11,16,27,26,28,27,25,25,27,31,31,32,32
22,2,23,32,32,33,32,33,33,33,33,33,33,32,33,33,33,33,32,33,34,34,34,34,34,35,34
23,2,24,33,34,34,34,34,36,36,34,34,36,35,32,32,35,35,35,36,33,34,33,34,33,33,28
24,2,25,25,28,29,30,30,30,26,30,31,29,31,30,30,30,30,31,30,30,31,30,30,31,30,30
25,2,26,20,19,23,23,18,20,19,26,34,33,33,32,32,31,31,31,31,32,32,24,20,20,18,34
26,2,27,36,1,18,20,19,18,19,18,21,31,2,3,2,4,3,2,4,2,6,17,18,19,18,18
27,2,28,18,17,18,18,17,17,17,16,17,17,35,2,2,2,36,3,3,4,9,13,17,17,16,17
0,3,1,15,18,17,18,17,17,16,14,14,4,5,2,4,4,24,22,24,24,24,23,27,28,29,30
1,3,2,30,30,31,31,31,31,32,33,32,32,32,32,31,31,32,32,32,32,32,32,32,32,33,33
2,3,3,34,1,3,18,18,18,18,18,20,2,36,3,36,33,32,33,33,1,23,21,19,18,14,19
3,3,4,15,15,10,20,20,4,18,20,24,4,32,35,33,31,33,4,4,3,33,13,13,16,18,20
4,3,5,18,17,17,17,17,17,17,15,11,2,36,36,30,33,32,31,30,30,30,30,22,32,33,35
5,3,6,32,33,33,33,33,33,33,34,36,36,34,33,33,33,33,34,34,34,33,35,1,36,1,36
6,3,7,34,34,21,20,21,21,21,24,28,29,32,34,33,32,32,32,32,31,31,31,32,32,32,32
7,3,8,32,33,32,33,32,31,31,31,30,30,31,30,31,30,30,30,30,31,30,30,30,31,31,31
8,3,9,31,31,30,29,30,30,30,30,29,28,28,28,27,28,29,28,28,27,28,28,28,28,28,27
9,3,10,28,29,31,31,23,20,20,21,24,32,31,32,33,29,29,29,30,30,1,18,17,17,17,17
10,3,11,17,17,17,18,18,18,17,16,8,2,36,2,3,4,3,4,6,6,5,13,16,17,17,13
11,3,12,27,20,15,24,21,18,17,19,27,32,3,2,1,36,35,36,34,22,25,30,33,33,1,2
12,3,13,27,1,17,17,1,2,1,2,4,1,1,1,36,1,36,36,35,1,1,1,35,36,36,35
