,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,32,33,31,32,32,31,33,33,31,30,31,30,32,31,31,30,31,31,32,29,21,32,32,29
1,1,2,28,29,30,30,31,31,31,29,28,30,32,33,34,33,34,32,34,35,36,3,5,6,3,2
2,1,3,11,4,10,5,4,4,5,7,6,1,4,2,36,2,35,7,5,7,8,11,9,9,10,11
3,1,4,11,12,15,16,16,15,16,14,14,11,9,6,5,5,9,9,13,12,13,15,13,16,16,17
4,1,5,17,17,17,33,28,33,34,36,36,35,1,36,1,1,2,1,1,36,1,36,35,36,34,35
5,1,6,34,34,35,34,36,33,33,31,31,32,31,31,32,29,29,30,32,31,30,31,29,27,31,32
6,1,7,31,31,31,30,31,30,31,32,31,33,33,33,33,33,33,33,33,34,36,35,34,32,32,32
7,1,8,33,33,33,31,33,29,31,31,33,35,34,32,34,33,30,31,31,32,32,31,31,33,33,33
8,1,9,34,34,32,31,32,32,32,32,31,31,31,31,31,31,33,32,33,33,31,32,34,34,34,32
9,1,10,34,34,35,34,33,29,30,34,33,31,30,31,31,31,31,31,30,33,33,33,33,33,35,34
10,1,11,35,32,31,30,32,31,36,20,22,19,16,17,21,2,17,15,15,20,9,15,20,19,23,30
11,1,12,30,32,31,32,33,31,32,31,32,32,27,20,25,20,22,20,26,27,24,22,22,22,23,23
12,1,13,23,22,22,22,22,22,22,22,23,24,24,24,24,25,25,25,25,25,24,24,24,23,23,24
13,1,14,24,23,23,22,20,20,20,20,14,10,8,4,5,4,4,34,11,13,17,17,19,18,17,16
14,1,15,18,18,16,20,20,17,18,19,24,17,22,24,24,23,23,25,24,24,25,25,33,33,34,36
15,1,16,33,32,32,33,32,32,33,34,33,33,34,34,32,33,33,34,33,34,34,33,34,33,34,34
16,1,17,33,34,35,32,33,33,33,35,32,33,33,33,33,33,34,34,33,33,35,35,33,31,31,31
17,1,18,29,30,19,26,26,27,25,26,26,26,27,28,28,28,28,30,31,31,32,32,33,34,33,34
18,1,19,34,36,36,1,1,3,10,2,2,1,2,4,1,4,3,2,7,7,13,15,13,12,11,12
19,1,20,15,12,12,13,18,19,18,17,14,11,23,8,26,28,30,36,22,19,18,13,12,22,17,17
20,1,21,18,12,20,17,17,14,9,21,11,27,33,28,30,35,29,26,30,19,20,15,15,13,9,4
21,1,22,22,25,26,26,31,30,31,31,30,0,18,21,18,34,7,2,1,3,4,5,3,9,15,13
22,1,23,14,11,12,12,9,7,9,8,7,7,7,8,9,9,7,7,7,9,10,9,8,9,7,8
23,1,24,8,8,7,8,11,7,6,9,10,8,7,7,8,7,8,8,9,10,10,10,10,11,9,10
24,1,25,9,9,9,9,9,9,10,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,9,8
25,1,26,10,10,9,9,9,8,10,8,5,6,4,5,3,7,35,34,1,36,35,35,36,34,35,33
26,1,27,33,33,35,35,3,3,2,4,14,5,3,2,3,36,1,2,6,9,18,17,17,17,17,15
27,1,28,22,22,18,19,20,25,22,27,29,30,30,30,29,31,32,32,31,30,32,32,32,31,32,33
28,1,29,33,33,32,33,32,33,33,33,34,33,32,33,33,32,32,32,34,32,31,33,27,22,19,19
29,1,30,18,19,19,21,21,22,23,23,23,24,25,26,27,26,26,27,25,24,20,21,20,20,20,19
30,1,31,19,18,19,18,18,17,16,18,18,14,35,31,32,2,3,35,2,35,12,16,20,17,17,11
0,2,1,20,22,23,24,26,27,24,26,25,27,26,25,22,25,27,24,22,25,25,24,26,30,33,33
1,2,2,34,36,3,34,36,36,2,2,1,35,2,33,33,32,33,33,33,31,32,30,30,30,31,32
2,2,3,31,31,32,33,33,34,33,33,3,34,31,33,32,32,31,36,31,20,10,15,10,15,17,24
3,2,4,24,24,25,25,33,33,33,34,34,36,35,32,33,32,32,29,28,32,24,18,27,19,19,17
4,2,5,16,19,15,15,16,16,15,16,16,11,10,12,10,13,12,6,15,16,17,31,18,26,19,5
5,2,6,9,23,21,20,20,20,19,20,21,26,29,29,29,28,28,28,26,26,24,26,27,25,25,24
6,2,7,24,23,23,21,21,22,21,21,22,26,31,30,30,31,33,33,33,34,35,36,35,1,2,35
7,2,8,36,34,33,36,32,34,34,34,33,35,34,34,32,32,32,34,35,35,36,36,36,35,34,35
8,2,9,35,2,1,2,36,3,4,2,2,2,36,31,35,2,36,2,31,26,21,18,18,18,17,18
9,2,10,19,18,17,16,17,17,17,17,15,5,3,36,36,35,32,31,31,30,20,20,16,7,16,16
10,2,11,17,17,17,15,17,17,15,17,15,11,8,8,7,5,6,7,7,8,9,10,11,13,14,15
11,2,12,13,15,14,13,12,12,12,12,12,9,6,6,6,5,3,6,7,6,5,11,13,12,11,12
12,2,13,11,10,13,14,14,15,12,11,10,9,7,6,6,6,5,5,6,4,6,7,6,14,5,20
13,2,14,21,17,10,12,19,22,22,22,10,9,5,9,4,5,4,5,9,9,9,8,11,12,33,33
14,2,15,27,25,24,27,31,31,32,33,32,31,31,30,33,33,32,33,31,32,32,30,31,31,31,31
15,2,16,33,32,32,33,34,33,34,17,9,32,32,31,28,26,27,28,28,28,31,32,31,32,33,31
16,2,17,31,32,31,31,31,32,31,30,31,32,31,32,31,32,31,31,31,31,32,33,31,33,32,32
17,2,18,33,32,30,33,33,33,33,31,32,32,32,33,32,32,31,32,32,31,32,33,33,31,31,32
18,2,19,31,29,31,30,23,22,24,20,22,26,28,28,29,28,27,26,25,25,25,23,24,22,24,23
19,2,20,24,24,23,24,24,24,24,23,24,25,25,26,26,26,27,26,26,27,26,25,24,23,23,23
20,2,21,22,22,23,23,23,24,23,23,23,25,25,25,25,24,24,24,23,22,22,22,22,22,23,23
21,2,22,22,22,22,25,26,21,21,23,23,25,26,26,28,28,30,28,28,27,28,30,33,33,24,32
22,2,23,31,32,31,34,34,11,7,7,9,2,3,4,2,36,32,33,33,34,35,1,33,36,3,36
23,2,24,14,15,14,16,18,17,15,16,12,7,5,6,6,6,7,7,7,9,10,10,10,12,11,11
24,2,25,11,9,15,18,12,13,11,9,9,9,9,9,8,7,8,9,9,8,9,8,9,9,9,9
25,2,26,9,9,9,9,8,8,8,7,7,8,8,8,7,9,8,9,8,7,8,8,8,8,7,7
26,2,27,9,8,8,8,9,9,9,9,10,9,9,9,9,9,9,9,9,10,10,9,10,9,9,8
