,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,1,35,33,2,2,1,36,5,1,36,34,1,1,35,34,31,30,30,33,34,36,30,20,20
1,1,2,14,17,33,22,19,18,18,17,5,36,33,34,34,32,31,33,34,34,34,33,33,34,36,1
2,1,3,14,1,35,35,34,21,18,17,25,35,33,32,32,30,30,31,31,31,32,33,35,3,18,14
3,1,4,14,17,17,18,18,17,17,20,17,18,2,34,30,29,31,32,32,33,34,23,16,13,8,11
4,1,5,12,12,15,17,15,13,14,16,15,12,7,4,5,5,7,7,10,11,11,11,11,10,7,17
5,1,6,20,17,16,20,18,11,24,24,17,1,23,18,3,20,34,2,11,13,21,22,23,23,23,23
6,1,7,22,22,22,22,23,22,22,22,22,21,21,22,22,22,22,22,21,20,23,24,25,26,26,28
7,1,8,29,28,29,30,30,30,30,29,31,31,31,31,30,31,31,31,32,33,32,33,32,32,33,35
8,1,9,33,33,33,32,32,32,33,36,36,35,34,35,35,33,32,32,33,33,36,34,1,35,36,36
9,1,10,3,3,3,4,7,12,6,21,18,18,7,4,2,3,3,2,35,35,1,2,2,2,22,21
10,1,11,30,34,35,34,34,36,36,1,1,3,3,2,35,1,36,32,34,33,33,33,34,33,35,35
11,1,12,35,35,35,33,33,33,33,33,33,32,32,31,31,31,31,31,32,31,33,31,32,32,31,32
12,1,13,31,31,31,33,32,33,31,31,32,33,32,32,31,31,31,31,31,33,33,1,1,3,5,4
13,1,14,7,7,7,9,6,6,14,12,12,15,6,5,4,2,2,12,9,16,18,15,24,18,18,25
14,1,15,29,33,36,36,35,35,34,35,1,33,35,34,33,34,33,32,33,1,1,3,3,1,1,34
15,1,16,21,20,32,1,36,36,34,1,15,15,11,10,5,36,36,3,6,36,2,1,2,34,33,35
16,1,17,1,33,33,33,35,35,1,34,34,36,35,35,34,33,34,32,33,32,33,35,34,34,32,35
17,1,18,35,33,35,34,34,34,33,34,34,1,34,34,33,32,32,33,33,32,33,33,34,33,33,34
18,1,19,32,21,21,30,27,29,30,30,30,31,30,29,29,30,31,30,31,31,30,29,29,32,32,31
19,1,20,31,31,31,31,31,31,32,32,31,32,31,31,31,31,31,31,32,34,33,32,33,32,33,32
20,1,21,34,34,34,35,35,1,35,8,4,5,5,3,4,6,7,7,9,10,17,7,21,20,13,22
21,1,22,15,19,17,15,16,15,16,21,14,20,11,11,7,8,12,9,31,12,32,19,25,30,14,24
22,1,23,27,26,2,1,5,35,34,35,1,29,34,35,33,33,32,33,36,2,36,35,7,4,5,4
23,1,24,1,3,1,1,2,1,1,1,7,4,10,5,6,5,6,7,7,12,12,12,11,13,11,10
24,1,25,11,12,11,9,8,7,9,9,8,9,8,8,8,8,8,9,8,11,13,12,11,11,11,11
25,1,26,11,11,11,9,7,8,7,10,11,8,9,8,7,8,8,9,9,9,9,9,9,9,9,9
26,1,27,9,8,9,10,9,9,8,7,6,6,7,6,5,5,5,3,4,5,4,3,2,2,2,1
27,1,28,2,2,2,1,2,35,34,33,34,34,34,35,33,33,33,33,31,30,31,32,33,33,31,28
28,1,29,30,29,30,30,32,31,31,32,33,32,32,30,31,30,30,31,31,32,32,32,34,35,34,35
