,month,day,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1,1,34,31,31,31,32,33,33,32,31,30,30,31,30,31,32,31,33,32,33,34,35,34,33,35
1,1,2,34,35,34,35,35,33,36,36,36,36,35,33,34,35,34,34,34,34,35,34,35,35,33,33
2,1,3,35,35,35,36,1,36,36,35,2,4,3,5,2,36,1,36,36,35,34,17,18,18,18,17
3,1,4,17,17,17,17,18,17,18,16,14,20,23,23,27,31,33,36,35,3,32,18,18,18,18,17
4,1,5,17,21,1,2,1,2,3,3,2,2,2,2,36,35,36,33,35,32,34,34,29,34,34,33
5,1,6,33,33,34,1,1,2,1,2,3,36,2,34,32,33,31,34,34,33,1,33,28,20,20,19
6,1,7,19,18,17,16,18,16,18,17,16,1,2,2,36,4,2,35,33,36,2,36,1,36,1,36
7,1,8,3,35,33,36,36,1,34,35,34,35,34,33,33,33,33,33,33,33,33,34,36,35,34,35
8,1,9,35,34,36,35,2,3,4,6,6,8,10,7,7,7,7,7,9,11,9,16,16,17,15,15
9,1,10,18,20,20,19,22,32,22,24,32,31,32,32,31,33,33,33,32,34,33,33,33,35,35,1
10,1,11,36,2,33,1,36,36,36,36,35,1,29,31,1,4,7,8,9,9,10,10,12,11,10,9
11,1,12,10,21,29,36,3,36,36,34,33,34,33,35,34,36,33,32,34,35,36,1,2,1,36,36
12,1,13,1,1,1,36,36,36,36,1,36,36,36,36,29,32,32,33,34,33,34,35,36,34,35,35
13,1,14,35,34,3,35,3,2,35,0,15,10,1,36,31,34,31,30,33,22,21,20,19,21,20,20
14,1,15,21,21,22,21,23,29,23,26,24,32,33,32,30,33,32,34,32,32,33,33,33,33,33,33
15,1,16,33,33,32,33,34,33,35,34,34,36,35,33,32,33,33,34,32,33,34,35,35,35,34,32
16,1,17,33,32,31,31,32,32,33,31,32,29,31,29,29,29,31,31,31,31,31,32,33,32,33,33
17,1,18,34,34,1,20,17,21,18,15,1,33,2,4,33,33,30,33,34,27,34,18,18,18,17,17
18,1,19,17,17,17,18,20,18,17,13,12,4,9,10,8,8,12,3,11,25,27,26,26,26,26,27
19,1,20,29,28,28,31,33,33,33,33,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32
20,1,21,33,33,33,33,34,33,33,32,31,31,28,30,30,29,29,29,31,28,30,28,28,27,24,22
21,1,22,22,23,24,28,28,29,29,30,31,28,28,27,30,27,28,29,28,28,29,30,30,29,26,24
22,1,23,21,21,21,22,22,23,22,24,26,28,29,30,30,31,29,31,30,32,32,33,34,34,1,1
23,1,24,36,33,23,24,24,19,11,13,12,3,1,2,4,1,2,32,30,27,23,19,18,19,18,19
24,1,25,19,17,17,17,17,17,16,12,16,1,34,32,32,32,31,32,33,33,33,33,33,32,34,33
25,1,26,33,33,33,34,34,36,35,34,34,35,33,33,33,35,34,35,35,35,35,33,34,33,36,34
26,1,27,1,3,36,36,17,18,20,19,21,34,33,32,30,32,33,29,29,28,23,21,21,20,21,21
27,1,28,23,24,23,23,23,24,28,28,30,27,30,31,31,29,31,33,33,33,33,34,35,35,36,1
28,1,29,1,36,36,35,36,3,2,1,2,21,4,2,3,4,4,4,5,8,12,12,19,21,13,28
29,1,30,19,20,33,32,34,16,2,16,19,22,25,32,29,30,30,32,30,29,25,21,20,23,16,10
30,1,31,8,1,1,14,14,4,12,6,2,3,1,36,36,35,35,35,34,33,34,32,32,33,31,32
